(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(7971, 30, 4);100;ק;7971;(2, 6, 25, 14, 7971);לקח;2;2069;(2, 6, 25, 4, 2069);4;ואלעזר בן אהרן לקח לו מבנות פוטיאל לו לאשה ותלד לו את פינחס אלה ראשי אבות הלוים למשפחתם
(7971, 30, 4);10;י;8001;(2, 6, 25, 44, 8001);פינחס;2;2078;(2, 6, 25, 13, 2078);13;ואלעזר בן אהרן לקח לו מבנות פוטיאל לו לאשה ותלד לו את פינחס אלה ראשי אבות הלוים למשפחתם
(7971, 30, 4);1;א;8031;(2, 6, 26, 4, 8031);אהרן;1;2085;(2, 6, 26, 2, 2085);2;הוא אהרן ומשה אשר אמר יהוה להם הוציאו את בני ישראל מארץ מצרים על צבאתם
(7971, 30, 4);50;נ;8061;(2, 6, 26, 34, 8061);בני;2;2093;(2, 6, 26, 10, 2093);10;הוא אהרן ומשה אשר אמר יהוה להם הוציאו את בני ישראל מארץ מצרים על צבאתם
