(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(61412, 64, 4);100;ק;61412;(2, 39, 33, 34, 61412);קרסיו;1;16135;(2, 39, 33, 11, 16135);11;ויביאו את המשכן אל משה את האהל ואת כל כליו קרסיו קרשיו בריחו ועמדיו ואדניו
(61412, 64, 4);10;י;61476;(2, 39, 34, 38, 61476);התחשים;5;16148;(2, 39, 34, 9, 16148);9;ואת מכסה עורת האילם המאדמים ואת מכסה ערת התחשים ואת פרכת המסך
(61412, 64, 4);1;א;61540;(2, 39, 37, 1, 61540);את;1;16167;(2, 39, 37, 1, 16167);1;את המנרה הטהרה את נרתיה נרת המערכה ואת כל כליה ואת שמן המאור
(61412, 64, 4);50;ן;61604;(2, 39, 38, 17, 61604);שמן;3;16184;(2, 39, 38, 5, 16184);5;ואת מזבח הזהב ואת שמן המשחה ואת קטרת הסמים ואת מסך פתח האהל
