(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(38485, 13, 4);300;ש;38485;(2, 26, 25, 69, 38485);הקרש;4;10181;(2, 26, 25, 17, 10181);17;והיו שמנה קרשים ואדניהם כסף ששה עשר אדנים שני אדנים תחת הקרש האחד ושני אדנים תחת הקרש האחד
(38485, 13, 4);8;ח;38498;(2, 26, 26, 9, 38498);בריחם;4;10184;(2, 26, 26, 2, 10184);2;ועשית בריחם עצי שטים חמשה לקרשי צלע המשכן האחד
(38485, 13, 4);30;ל;38511;(2, 26, 26, 22, 38511);לקרשי;1;10188;(2, 26, 26, 6, 10188);6;ועשית בריחם עצי שטים חמשה לקרשי צלע המשכן האחד
(38485, 13, 4);5;ה;38524;(2, 26, 26, 35, 38524);האחד;1;10191;(2, 26, 26, 9, 10191);9;ועשית בריחם עצי שטים חמשה לקרשי צלע המשכן האחד
