(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(49343, 44, 4);100;ק;49343;(1, 34, 4, 23, 49343);קח;1;13150;(1, 34, 4, 7, 13150);7;ויאמר שכם אל חמור אביו לאמר קח לי את הילדה הזאת לאשה
(49343, 44, 4);10;י;49387;(1, 34, 5, 26, 49387);ובניו;4;13163;(1, 34, 5, 8, 13163);8;ויעקב שמע כי טמא את דינה בתו ובניו היו את מקנהו בשדה והחרש יעקב עד באם
(49343, 44, 4);1;א;49431;(1, 34, 6, 15, 49431);אל;1;13176;(1, 34, 6, 5, 13176);5;ויצא חמור אבי שכם אל יעקב לדבר אתו
(49343, 44, 4);50;נ;49475;(1, 34, 7, 32, 49475);האנשים;3;13187;(1, 34, 7, 8, 13187);8;ובני יעקב באו מן השדה כשמעם ויתעצבו האנשים ויחר להם מאד כי נבלה עשה בישראל לשכב את בת יעקב וכן לא יעשה
