(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(60053, 51, 4);300;ש;60053;(2, 39, 5, 54, 60053);ושש;3;15775;(2, 39, 5, 13, 15775);13;וחשב אפדתו אשר עליו ממנו הוא כמעשהו זהב תכלת וארגמן ותולעת שני ושש משזר כאשר צוה יהוה את משה
(60053, 51, 4);8;ח;60104;(2, 39, 6, 31, 60104);מפתחת;4;15789;(2, 39, 6, 8, 15789);8;ויעשו את אבני השהם מסבת משבצת זהב מפתחת פתוחי חותם על שמות בני ישראל
(60053, 51, 4);30;ל;60155;(2, 39, 7, 27, 60155);לבני;1;15803;(2, 39, 7, 8, 15803);8;וישם אתם על כתפת האפד אבני זכרון לבני ישראל כאשר צוה יהוה את משה
(60053, 51, 4);5;ה;60206;(2, 39, 8, 27, 60206);זהב;2;15817;(2, 39, 8, 8, 15817);8;ויעש את החשן מעשה חשב כמעשה אפד זהב תכלת וארגמן ותולעת שני ושש משזר
