(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(37765, 61, 4);300;ש;37765;(2, 26, 11, 12, 37765);נחשת;3;10008;(2, 26, 11, 3, 10008);3;ועשית קרסי נחשת חמשים והבאת את הקרסים בללאת וחברת את האהל והיה אחד
(37765, 61, 4);8;ח;37826;(2, 26, 12, 19, 37826);חצי;1;10023;(2, 26, 12, 5, 10023);5;וסרח העדף ביריעת האהל חצי היריעה העדפת תסרח על אחרי המשכן
(37765, 61, 4);30;ל;37887;(2, 26, 13, 33, 37887);האהל;4;10037;(2, 26, 13, 8, 10037);8;והאמה מזה והאמה מזה בעדף בארך יריעת האהל יהיה סרוח על צדי המשכן מזה ומזה לכסתו
(37765, 61, 4);5;ה;37948;(2, 26, 14, 31, 37948);ומכסה;5;10052;(2, 26, 14, 7, 10052);7;ועשית מכסה לאהל ערת אילם מאדמים ומכסה ערת תחשים מלמעלה
