(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(3647, 90, 4);100;ק;3647;(2, 3, 20, 42, 3647);בקרבו;2;940;(2, 3, 20, 11, 940);11;ושלחתי את ידי והכיתי את מצרים בכל נפלאתי אשר אעשה בקרבו ואחרי כן ישלח אתכם
(3647, 90, 4);10;י;3737;(2, 3, 22, 26, 3737);כלי;3;963;(2, 3, 22, 6, 963);6;ושאלה אשה משכנתה ומגרת ביתה כלי כסף וכלי זהב ושמלת ושמתם על בניכם ועל בנתיכם ונצלתם את מצרים
(3647, 90, 4);1;א;3827;(2, 4, 1, 41, 3827);יאמרו;2;987;(2, 4, 1, 12, 987);12;ויען משה ויאמר והן לא יאמינו לי ולא ישמעו בקלי כי יאמרו לא נראה אליך יהוה
(3647, 90, 4);50;נ;3917;(2, 4, 3, 45, 3917);מפניו;3;1008;(2, 4, 3, 10, 1008);10;ויאמר השליכהו ארצה וישלכהו ארצה ויהי לנחש וינס משה מפניו
