(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(1874, 60, 4);100;ק;1874;(2, 2, 17, 34, 1874);וישק;4;481;(2, 2, 17, 7, 481);7;ויבאו הרעים ויגרשום ויקם משה ויושען וישק את צאנם
(1874, 60, 4);10;י;1934;(2, 2, 19, 16, 1934);הצילנו;3;496;(2, 2, 19, 4, 496);4;ותאמרן איש מצרי הצילנו מיד הרעים וגם דלה דלה לנו וישק את הצאן
(1874, 60, 4);1;א;1994;(2, 2, 20, 27, 1994);את;1;513;(2, 2, 20, 8, 513);8;ויאמר אל בנתיו ואיו למה זה עזבתן את האיש קראן לו ויאכל לחם
(1874, 60, 4);50;ן;2054;(2, 2, 22, 6, 2054);בן;2;530;(2, 2, 22, 2, 530);2;ותלד בן ויקרא את שמו גרשם כי אמר גר הייתי בארץ נכריה
