(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(38451, 85, 4);300;ש;38451;(2, 26, 25, 35, 38451);שני;1;10173;(2, 26, 25, 9, 10173);9;והיו שמנה קרשים ואדניהם כסף ששה עשר אדנים שני אדנים תחת הקרש האחד ושני אדנים תחת הקרש האחד
(38451, 85, 4);8;ח;38536;(2, 26, 27, 9, 38536);בריחם;4;10193;(2, 26, 27, 2, 10193);2;וחמשה בריחם לקרשי צלע המשכן השנית וחמשה בריחם לקרשי צלע המשכן לירכתים ימה
(38451, 85, 4);30;ל;38621;(2, 26, 28, 33, 38621);אל;2;10212;(2, 26, 28, 8, 10212);8;והבריח התיכן בתוך הקרשים מברח מן הקצה אל הקצה
(38451, 85, 4);5;ה;38706;(2, 26, 30, 22, 38706);הראית;1;10233;(2, 26, 30, 6, 10233);6;והקמת את המשכן כמשפטו אשר הראית בהר
