(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(31099, 32, 4);300;ש;31099;(2, 21, 27, 12, 31099);שן;1;8244;(2, 21, 27, 5, 8244);5;ואם שן עבדו או שן אמתו יפיל לחפשי ישלחנו תחת שנו
(31099, 32, 4);8;ח;31131;(2, 21, 28, 6, 31131);יגח;3;8252;(2, 21, 28, 2, 8252);2;וכי יגח שור את איש או את אשה ומת סקול יסקל השור ולא יאכל את בשרו ובעל השור נקי
(31099, 32, 4);30;ל;31163;(2, 21, 28, 38, 31163);ולא;2;8263;(2, 21, 28, 13, 8263);13;וכי יגח שור את איש או את אשה ומת סקול יסקל השור ולא יאכל את בשרו ובעל השור נקי
(31099, 32, 4);5;ה;31195;(2, 21, 29, 10, 31195);הוא;1;8273;(2, 21, 29, 4, 8273);4;ואם שור נגח הוא מתמל שלשם והועד בבעליו ולא ישמרנו והמית איש או אשה השור יסקל וגם בעליו יומת
