(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(38465, 99, 4);300;ש;38465;(2, 26, 25, 49, 38465);הקרש;4;10176;(2, 26, 25, 12, 10176);12;והיו שמנה קרשים ואדניהם כסף ששה עשר אדנים שני אדנים תחת הקרש האחד ושני אדנים תחת הקרש האחד
(38465, 99, 4);8;ח;38564;(2, 26, 27, 37, 38564);בריחם;4;10199;(2, 26, 27, 8, 10199);8;וחמשה בריחם לקרשי צלע המשכן השנית וחמשה בריחם לקרשי צלע המשכן לירכתים ימה
(38465, 99, 4);30;ל;38663;(2, 26, 29, 38, 38663);לבריחם;1;10223;(2, 26, 29, 10, 10223);10;ואת הקרשים תצפה זהב ואת טבעתיהם תעשה זהב בתים לבריחם וצפית את הבריחם זהב
(38465, 99, 4);5;ה;38762;(2, 26, 31, 49, 38762);אתה;3;10246;(2, 26, 31, 12, 10246);12;ועשית פרכת תכלת וארגמן ותולעת שני ושש משזר מעשה חשב יעשה אתה כרבים
