(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(5053, 93, 4);300;ש;5053;(2, 4, 22, 29, 5053);ישראל;2;1319;(2, 4, 22, 9, 1319);9;ואמרת אל פרעה כה אמר יהוה בני בכרי ישראל
(5053, 93, 4);8;ח;5146;(2, 4, 25, 4, 5146);ותקח;4;1341;(2, 4, 25, 1, 1341);1;ותקח צפרה צר ותכרת את ערלת בנה ותגע לרגליו ותאמר כי חתן דמים אתה לי
(5053, 93, 4);30;ל;5239;(2, 4, 27, 18, 5239);לקראת;1;1368;(2, 4, 27, 6, 1368);6;ויאמר יהוה אל אהרן לך לקראת משה המדברה וילך ויפגשהו בהר האלהים וישק לו
(5053, 93, 4);5;ה;5332;(2, 4, 29, 7, 5332);משה;3;1392;(2, 4, 29, 2, 1392);2;וילך משה ואהרן ויאספו את כל זקני בני ישראל
