(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(37330, 59, 4);100;ק;37330;(2, 26, 4, 30, 37330);מקצה;2;9906;(2, 26, 4, 8, 9906);8;ועשית ללאת תכלת על שפת היריעה האחת מקצה בחברת וכן תעשה בשפת היריעה הקיצונה במחברת השנית
(37330, 59, 4);10;י;37389;(2, 26, 5, 17, 37389);ביריעה;4;9918;(2, 26, 5, 4, 9918);4;חמשים ללאת תעשה ביריעה האחת וחמשים ללאת תעשה בקצה היריעה אשר במחברת השנית מקבילת הללאת אשה אל אחתה
(37330, 59, 4);1;א;37448;(2, 26, 5, 76, 37448);אל;1;9931;(2, 26, 5, 17, 9931);17;חמשים ללאת תעשה ביריעה האחת וחמשים ללאת תעשה בקצה היריעה אשר במחברת השנית מקבילת הללאת אשה אל אחתה
(37330, 59, 4);50;ן;37507;(2, 26, 6, 54, 37507);המשכן;5;9945;(2, 26, 6, 13, 9945);13;ועשית חמשים קרסי זהב וחברת את היריעת אשה אל אחתה בקרסים והיה המשכן אחד
