(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(1830, 42, 4);100;ק;1830;(2, 2, 16, 47, 1830);להשקות;4;472;(2, 2, 16, 10, 472);10;ולכהן מדין שבע בנות ותבאנה ותדלנה ותמלאנה את הרהטים להשקות צאן אביהן
(1830, 42, 4);10;י;1872;(2, 2, 17, 32, 1872);וישק;2;481;(2, 2, 17, 7, 481);7;ויבאו הרעים ויגרשום ויקם משה ויושען וישק את צאנם
(1830, 42, 4);1;א;1914;(2, 2, 18, 34, 1914);בא;2;491;(2, 2, 18, 8, 491);8;ותבאנה אל רעואל אביהן ויאמר מדוע מהרתן בא היום
(1830, 42, 4);50;נ;1956;(2, 2, 19, 38, 1956);לנו;2;502;(2, 2, 19, 10, 502);10;ותאמרן איש מצרי הצילנו מיד הרעים וגם דלה דלה לנו וישק את הצאן
