(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(21352, 80, 4);300;ש;21352;(2, 14, 24, 41, 21352);אש;2;5612;(2, 14, 24, 10, 5612);10;ויהי באשמרת הבקר וישקף יהוה אל מחנה מצרים בעמוד אש וענן ויהם את מחנה מצרים
(21352, 80, 4);8;ח;21432;(2, 14, 25, 61, 21432);נלחם;3;5631;(2, 14, 25, 14, 5631);14;ויסר את אפן מרכבתיו וינהגהו בכבדת ויאמר מצרים אנוסה מפני ישראל כי יהוה נלחם להם במצרים
(21352, 80, 4);30;ל;21512;(2, 14, 27, 13, 21512);על;2;5655;(2, 14, 27, 5, 5655);5;ויט משה את ידו על הים וישב הים לפנות בקר לאיתנו ומצרים נסים לקראתו וינער יהוה את מצרים בתוך הים
(21352, 80, 4);5;ה;21592;(2, 14, 28, 17, 21592);הרכב;1;5675;(2, 14, 28, 5, 5675);5;וישבו המים ויכסו את הרכב ואת הפרשים לכל חיל פרעה הבאים אחריהם בים לא נשאר בהם עד אחד
