(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(25923, 87, 4);300;ש;25923;(1, 21, 14, 3, 25923);וישכם;3;6915;(1, 21, 14, 1, 6915);1;וישכם אברהם בבקר ויקח לחם וחמת מים ויתן אל הגר שם על שכמה ואת הילד וישלחה ותלך ותתע במדבר באר שבע
(25923, 87, 4);8;ח;26010;(1, 21, 15, 13, 26010);החמת;2;6939;(1, 21, 15, 4, 6939);4;ויכלו המים מן החמת ותשלך את הילד תחת אחד השיחם
(25923, 87, 4);30;ל;26097;(1, 21, 16, 63, 26097);קלה;2;6963;(1, 21, 16, 18, 6963);18;ותלך ותשב לה מנגד הרחק כמטחוי קשת כי אמרה אל אראה במות הילד ותשב מנגד ותשא את קלה ותבך
(25923, 87, 4);5;ה;26184;(1, 21, 17, 82, 26184);הנער;1;6989;(1, 21, 17, 25, 6989);25;וישמע אלהים את קול הנער ויקרא מלאך אלהים אל הגר מן השמים ויאמר לה מה לך הגר אל תיראי כי שמע אלהים אל קול הנער באשר הוא שם
