(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(39697, 86, 4);100;ק;39697;(2, 27, 12, 15, 39697);קלעים;1;10476;(2, 27, 12, 5, 10476);5;ורחב החצר לפאת ים קלעים חמשים אמה עמדיהם עשרה ואדניהם עשרה
(39697, 86, 4);10;י;39783;(2, 27, 14, 24, 39783);עמדיהם;4;10495;(2, 27, 14, 6, 10495);6;וחמש עשרה אמה קלעים לכתף עמדיהם שלשה ואדניהם שלשה
(39697, 86, 4);1;א;39869;(2, 27, 16, 26, 39869);וארגמן;2;10514;(2, 27, 16, 7, 10514);7;ולשער החצר מסך עשרים אמה תכלת וארגמן ותולעת שני ושש משזר מעשה רקם עמדיהם ארבעה ואדניהם ארבעה
(39697, 86, 4);50;נ;39955;(2, 27, 17, 36, 39955);ואדניהם;4;10533;(2, 27, 17, 9, 10533);9;כל עמודי החצר סביב מחשקים כסף וויהם כסף ואדניהם נחשת
