(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(31936, 42, 4);300;ש;31936;(2, 22, 6, 54, 31936);שנים;1;8488;(2, 22, 6, 17, 8488);17;כי יתן איש אל רעהו כסף או כלים לשמר וגנב מבית האיש אם ימצא הגנב ישלם שנים
(31936, 42, 4);8;ח;31978;(2, 22, 7, 39, 31978);שלח;3;8500;(2, 22, 7, 12, 8500);12;אם לא ימצא הגנב ונקרב בעל הבית אל האלהים אם לא שלח ידו במלאכת רעהו
(31936, 42, 4);30;ל;32020;(2, 22, 8, 29, 32020);שלמה;2;8515;(2, 22, 8, 12, 8515);12;על כל דבר פשע על שור על חמור על שה על שלמה על כל אבדה אשר יאמר כי הוא זה עד האלהים יבא דבר שניהם אשר ירשיען אלהים ישלם שנים לרעהו
(31936, 42, 4);5;ה;32062;(2, 22, 8, 71, 32062);שניהם;4;8528;(2, 22, 8, 25, 8528);25;על כל דבר פשע על שור על חמור על שה על שלמה על כל אבדה אשר יאמר כי הוא זה עד האלהים יבא דבר שניהם אשר ירשיען אלהים ישלם שנים לרעהו
