(2, 1, 20, 11, 850);ל;ם;י;ה;ל;א;ב;ט;י;י;ו;ו;ד;ל;י;ו;ת;ד;ל;י;מ;ה;ן;ה;ל;א;א;ו;ב;ת;ם;ר;ט;ב;ה;נ;ה;ת;ו;י;ח;י;כ;ת;י;ר;ב;ע;ה;ת;(2, 1, 19, 33, 801)
(2, 1, 21, 29, 900);ל;ש;ע;י;ו;ם;י;ה;ל;א;ה;ת;א;ת;ד;ל;י;מ;ה;ו;א;ר;י;י;כ;י;ה;י;ו;ד;א;מ;ו;מ;צ;ע;י;ו;ם;ע;ה;ב;ר;י;ו;ת;ד;ל;י;מ;(2, 1, 20, 12, 851)
(2, 1, 22, 44, 950);ה;ל;כ;ו;ו;ה;כ;י;ל;ש;ת;ה;ר;א;י;ה;ד;ו;ל;י;ה;ן;ב;ה;ל;כ;ר;מ;א;ל;ו;מ;ע;ל;כ;ל;ה;ע;ר;פ;ו;צ;י;ו;ם;י;ת;ב;ם;ה;(2, 1, 21, 30, 901)
(2, 2, 2, 18, 1000);א;ר;ת;ו;ן;ב;ד;ל;ת;ו;ה;ש;א;ה;ר;ה;ת;ו;י;ו;ל;ת;ב;ת;א;ח;ק;י;ו;י;ו;ל;ת;י;ב;מ;ש;י;א;ך;ל;י;ו;ן;ו;י;ח;ת;ת;ב;(2, 1, 22, 45, 951)
(2, 2, 3, 23, 1050);ת;ו;ל;ח;ק;ת;ו;ו;נ;י;פ;צ;ה;ד;ו;ע;ה;ל;כ;י;א;ל;ו;ם;י;ח;ר;י;ה;ש;ל;ש;ו;ה;נ;פ;צ;ת;ו;א;ו;ה;ב;ו;ט;י;כ;ו;ת;א;(2, 2, 2, 19, 1001)
(2, 2, 4, 1, 1100);ו;ר;א;י;ה;ת;פ;ש;ל;ע;ף;ו;ס;ב;ם;ש;ת;ו;ד;ל;י;ה;ת;א;ה;ב;ם;ש;ת;ו;ת;פ;ז;ב;ו;ר;מ;ח;ב;ה;ר;מ;ח;ת;ו;א;מ;ג;ת;ב;(2, 2, 3, 24, 1051)
(2, 2, 5, 26, 1150);י;ת;ר;ע;נ;ו;ר;א;י;ה;ל;ע;ץ;ח;ר;ל;ה;ע;ר;פ;ת;ב;ד;ר;ת;ו;ו;ל;ה;ש;ע;י;ה;מ;ה;ע;ד;ל;ק;ח;ר;מ;ו;ת;ח;א;ב;צ;ת;ת;(2, 2, 4, 2, 1101)
(2, 2, 6, 3, 1200);פ;ת;ו;ה;ח;ק;ת;ו;ה;ת;מ;א;ת;א;ח;ל;ש;ת;ו;ף;ו;ס;ה;ך;ו;ת;ב;ה;ב;ת;ה;ת;א;א;ר;ת;ו;ר;א;י;ה;ד;י;ל;ע;ת;כ;ל;ה;ה;(2, 2, 5, 27, 1151)
(2, 2, 6, 53, 1250);ז;ם;י;ר;ב;ע;ה;י;ד;ל;י;מ;ר;מ;א;ת;ו;ו;י;ל;ע;ל;מ;ח;ת;ו;ה;כ;ב;ר;ע;נ;ה;נ;ה;ו;ד;ל;י;ה;ת;א;ו;ה;א;ר;ת;ו;ח;ת;(2, 2, 6, 4, 1201)
(2, 2, 7, 49, 1300);נ;י;ת;ו;ת;י;ר;ב;ע;ה;ן;מ;ת;ק;נ;י;מ;ה;ש;א;ך;ל;י;ת;א;ר;ק;ו;ך;ל;א;ה;ה;ע;ר;פ;ת;ב;ל;א;ו;ת;ח;א;ר;מ;א;ת;ו;ה;(2, 2, 6, 54, 1251)
(2, 2, 9, 3, 1350);א;ת;ו;ד;ל;י;ה;ם;א;ת;א;א;ר;ק;ת;ו;ה;מ;ל;ע;ה;ך;ל;ת;ו;י;כ;ל;ה;ע;ר;פ;ת;ב;ה;ל;ר;מ;א;ת;ו;ד;ל;י;ה;ת;א;ך;ל;ק;(2, 2, 7, 50, 1301)
(2, 2, 9, 53, 1400);ק;ת;ו;ך;ר;כ;ש;ת;א;ן;ת;א;י;נ;א;ו;י;ל;ו;ה;ק;נ;י;ה;ו;ה;ז;ה;ד;ל;י;ה;ת;א;י;כ;י;ל;י;ה;ה;ע;ר;פ;ת;ב;ה;ל;ר;מ;(2, 2, 9, 4, 1351)
(2, 2, 10, 34, 1450);ק;ת;ו;ן;ב;ל;ה;ל;י;ה;י;ו;ה;ע;ר;פ;ת;ב;ל;ו;ה;א;ב;ת;ו;ד;ל;י;ה;ל;ד;ג;י;ו;ו;ה;ק;י;נ;ת;ו;ד;ל;י;ה;ה;ש;א;ה;ח;(2, 2, 9, 54, 1401)
(2, 2, 11, 23, 1500);צ;י;ו;ה;ש;מ;ל;ד;ג;י;ו;ם;ה;ה;ם;י;מ;י;ב;י;ה;י;ו;ו;ה;ת;י;ש;מ;ם;י;מ;ה;ן;מ;י;כ;ר;מ;א;ת;ו;ה;ש;מ;ו;מ;ש;א;ר;(2, 2, 10, 35, 1451)
(2, 2, 12, 7, 1550);ו;ה;כ;ן;פ;י;ו;ו;י;ח;א;מ;י;ר;ב;ע;ש;י;א;ה;כ;מ;י;ר;צ;מ;ש;י;א;א;ר;י;ו;ם;ת;ל;ב;ס;ב;א;ר;י;ו;ו;י;ח;א;ל;א;א;(2, 2, 11, 24, 1501)
(2, 2, 13, 15, 1600);נ;ה;ו;י;נ;ש;ה;ם;ו;י;ב;א;צ;י;ו;ל;ו;ח;ב;ו;ה;נ;מ;ט;י;ו;י;ר;צ;מ;ה;ת;א;ך;י;ו;ש;י;א;ן;י;א;י;כ;א;ר;י;ו;ה;כ;(2, 2, 12, 8, 1551)
(2, 2, 14, 14, 1650);ש;י;א;ל;ך;מ;ש;י;מ;ר;מ;א;י;ו;ך;ע;ר;ה;כ;ת;ה;מ;ל;ע;ש;ר;ל;ר;מ;א;י;ו;ם;י;צ;נ;ם;י;ר;ב;ע;ם;י;ש;נ;א;י;נ;ש;ה;(2, 2, 13, 16, 1601)
(2, 2, 14, 64, 1700);א;י;ו;ה;ש;מ;א;ר;י;י;ו;י;ר;צ;מ;ה;ת;א;ת;ג;ר;ה;ר;ש;א;כ;ר;מ;א;ה;ת;א;י;נ;ג;ר;ה;ל;ה;ו;נ;י;ל;ע;ט;פ;ש;ו;ר;ש;(2, 2, 14, 15, 1651)
(2, 2, 15, 37, 1750);ח;ר;ב;י;ו;ה;ש;מ;ת;א;ג;ר;ה;ל;ש;ק;ב;י;ו;ה;ז;ה;ר;ב;ד;ה;ת;א;ה;ע;ר;פ;ע;מ;ש;י;ו;ר;ב;ד;ה;ע;ד;ו;נ;ן;כ;א;ר;מ;(2, 2, 14, 65, 1701)
(2, 2, 16, 17, 1800);ו;ת;ו;נ;ב;ע;ב;ש;ן;י;ד;מ;ן;ה;כ;ל;ו;ר;א;ב;ה;ל;ע;ב;ש;י;ו;ן;י;ד;מ;ץ;ר;א;ב;ב;ש;י;ו;ה;ע;ר;פ;י;נ;פ;מ;ה;ש;מ;(2, 2, 15, 38, 1751)
(2, 2, 17, 10, 1850);ם;י;ע;ר;ה;ו;א;ב;י;ו;ן;ה;י;ב;א;ן;א;צ;ת;ו;ק;ש;ה;ל;ם;י;ט;ה;ר;ה;ת;א;ה;נ;א;ל;מ;ת;ו;ה;נ;ל;ד;ת;ו;ה;נ;א;ב;ת;(2, 2, 16, 18, 1801)
(2, 2, 18, 20, 1900);י;ו;ן;ה;י;ב;א;ל;א;ו;ע;ר;ל;א;ה;נ;א;ב;ת;ו;ם;נ;א;צ;ת;א;ק;ש;י;ו;ן;ע;ש;ו;י;ו;ה;ש;מ;ם;ק;י;ו;ם;ו;ש;ר;ג;י;ו;(2, 2, 17, 11, 1851)
(2, 2, 19, 32, 1950);ל;ד;ם;ג;ו;ם;י;ע;ר;ה;ד;י;מ;ו;נ;ל;י;צ;ה;י;ר;צ;מ;ש;י;א;ן;ר;מ;א;ת;ו;ם;ו;י;ה;א;ב;ן;ת;ר;ה;מ;ע;ו;ד;מ;ר;מ;א;(2, 2, 18, 21, 1901)
(2, 2, 20, 33, 2000);ק;ש;י;א;ה;ת;א;ן;ת;ב;ז;ע;ה;ז;ה;מ;ל;ו;י;א;ו;ו;י;ת;נ;ב;ל;א;ר;מ;א;י;ו;ן;א;צ;ה;ת;א;ק;ש;י;ו;ו;נ;ל;ה;ל;ד;ה;(2, 2, 19, 33, 1951)
