(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(22553, 98, 4);300;ש;22553;(2, 15, 19, 29, 22553);וישב;3;5919;(2, 15, 19, 8, 5919);8;כי בא סוס פרעה ברכבו ובפרשיו בים וישב יהוה עלהם את מי הים ובני ישראל הלכו ביבשה בתוך הים
(22553, 98, 4);8;ח;22651;(2, 15, 20, 57, 22651);ובמחלת;4;5944;(2, 15, 20, 14, 5944);14;ותקח מרים הנביאה אחות אהרן את התף בידה ותצאן כל הנשים אחריה בתפים ובמחלת
(22553, 98, 4);30;ל;22749;(2, 15, 22, 54, 22749);ולא;2;5971;(2, 15, 22, 15, 5971);15;ויסע משה את ישראל מים סוף ויצאו אל מדבר שור וילכו שלשת ימים במדבר ולא מצאו מים
(22553, 98, 4);5;ה;22847;(2, 15, 25, 19, 22847);יהוה;2;6000;(2, 15, 25, 5, 6000);5;ויצעק אל יהוה ויורהו יהוה עץ וישלך אל המים וימתקו המים שם שם לו חק ומשפט ושם נסהו
