(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(21828, 95, 4);100;ק;21828;(1, 18, 28, 20, 21828);הצדיקם;5;5827;(1, 18, 28, 4, 5827);4;אולי יחסרון חמשים הצדיקם חמשה התשחית בחמשה את כל העיר ויאמר לא אשחית אם אמצא שם ארבעים וחמשה
(21828, 95, 4);10;י;21923;(1, 18, 29, 40, 21923);ויאמר;2;5851;(1, 18, 29, 10, 5851);10;ויסף עוד לדבר אליו ויאמר אולי ימצאון שם ארבעים ויאמר לא אעשה בעבור הארבעים
(21828, 95, 4);1;א;22018;(1, 18, 31, 10, 22018);נא;2;5875;(1, 18, 31, 3, 5875);3;ויאמר הנה נא הואלתי לדבר אל אדני אולי ימצאון שם עשרים ויאמר לא אשחית בעבור העשרים
(21828, 95, 4);50;ן;22113;(1, 18, 32, 39, 22113);ימצאון;6;5898;(1, 18, 32, 10, 5898);10;ויאמר אל נא יחר לאדני ואדברה אך הפעם אולי ימצאון שם עשרה ויאמר לא אשחית בעבור העשרה
